stationcode,name,address,latitude,longitude,brand
17131,7-Eleven Lithgow,"1131 Great Western Hwy, LITHGOW NSW 2790",-33.479907,150.13677,7-Eleven
17129,7-Eleven Unanderra,"41-43 Princes Hwy, UNANDERRA NSW 2526",-34.4502906,150.8492676,7-Eleven
17130,7-Eleven Kelso,"64 Sydney Rd, KELSO NSW 2795",-33.4184184,149.6062343,7-Eleven
17132,7-Eleven Lurnea,"124 Hoxton Park Rd, LURNEA NSW 2170",-33.9271659,150.9026939,7-Eleven
17136,7-Eleven St Helens Park,"Corner Appin Road & Kellerman Drive St Helens Park, St Helens Park NSW 2560",-34.102063,150.802239,7-Eleven
17133,7-Eleven Edmondson Park,"1962 Camden Valley Way, EDMONDSON PARK NSW 2174",-33.95354,150.85638,7-Eleven
17134,7-Eleven Greenacre,"301 Hume Hwy, GREENACRE NSW 2190",-33.9052467,151.0418668,7-Eleven
17137,7-Eleven Newport,"307-311 Barrenjoey Rd, NEWPORT NSW 2106",-33.6563398,151.3182504,7-Eleven
17135,7-Eleven Charlestown,"271-273 Charlestown Rd, CHARLESTOWN NSW 2290",-32.9580218,151.689795,7-Eleven
17138,7-Eleven Edgeworth,"745 Main Rd, EDGEWORTH NSW 2285",-32.9235802,151.6212248,7-Eleven
17139,7-Eleven Baulkham Hills,"217-219 Seven Hills Rd, BAULKHAM HILLS NSW 2153",-33.7555124,150.963514,7-Eleven
